일자,시가,고가,저가,종가,등락,종가변화,등락률,거래량,미결제,증감,거래대금,코스피200,현물등락,현물변화,Basis,연도,월,일,요일,5MA,10MA,15MA,20MA,25MA,30MA,35MA,40MA,45MA,50MA,55MA,60MA,BB_M,BB_L,BB_H,ATR,fast_K,fast_D,slow_K,slow_D,종가예측,타겟변수5,타겟변수2,타겟변수3
2000-03-10,114.5,114.85,111.5,111.6,-1,-0.9,-0.8,53654,18336,18336,3026661.0,110.68,1,0.87,0.92,2000,3,10,4,111.6,111.6,111.6,111.6,111.6,111.6,111.6,111.6,111.6,111.6,111.6,111.6,111.6,122.63086578651013,100.56913421348986,3.3499999999999943,0.0,0.0,0.0,0.0,-7.799999999999997,-2.0,0.0,-1.0
2000-03-13,110.0,110.0,103.8,103.8,-1,-7.8,-6.99,51894,17970,-366,2753537.0,105.14,-1,5.54,-1.34,2000,3,13,0,107.69999999999999,107.69999999999999,107.69999999999999,107.69999999999999,107.69999999999999,107.69999999999999,107.69999999999999,107.69999999999999,107.69999999999999,107.69999999999999,107.69999999999999,107.69999999999999,107.69999999999999,118.73086578651012,96.66913421348985,7.799999999999997,13.307692307692312,13.307692307692312,26.615384615384624,26.615384615384624,1.2000000000000028,1.0,1.0,1.0
2000-03-14,103.8,106.15,103.4,105.0,1,1.2,1.16,57988,19112,1142,3039295.0,104.3,-1,0.84,0.7,2000,3,14,1,106.8,106.8,106.8,106.8,106.8,106.8,106.8,106.8,106.8,106.8,106.8,106.8,106.8,115.19999999999999,98.4,2.75,13.461538461538467,13.38461538461539,20.192307692307697,23.40384615384616,1.0,1.0,1.0,0.0
2000-03-15,102.4,106.0,100.3,106.0,1,1.0,0.95,66308,24712,5600,3400235.0,103.28,-1,1.02,2.72,2000,3,15,2,106.6,106.6,106.6,106.6,106.6,106.6,106.6,106.6,106.6,106.6,106.6,106.6,106.6,113.50507060065281,99.69492939934717,5.700000000000003,13.589743589743595,13.45299145299146,18.119658119658126,21.642450142450148,-0.5,0.0,0.0,0.0
2000-03-16,107.0,107.85,103.95,105.5,-1,-0.5,-0.47,59008,26110,1398,3119567.0,104.19,1,0.91,1.31,2000,3,16,3,106.38,106.38,106.38,106.38,106.38,106.38,106.38,106.38,106.38,106.38,106.38,106.38,106.38,112.44036302543006,100.31963697456993,3.8999999999999915,13.52564102564103,13.471153846153852,16.907051282051288,20.458600427350433,1.2000000000000028,1.0,1.0,1.0
2000-03-17,109.95,109.95,106.3,106.7,1,1.2,1.14,55695,23867,-2243,3010544.0,106.31,1,2.12,0.39,2000,3,17,4,105.4,106.43333333333334,106.43333333333334,106.43333333333334,106.43333333333334,106.43333333333334,106.43333333333334,106.43333333333334,106.43333333333334,106.43333333333334,106.43333333333334,106.43333333333334,106.43333333333334,111.86018017718904,101.00648648947764,4.450000000000003,13.679487179487184,13.51282051282052,13.679487179487184,19.10277777777778,0.04999999999999716,0.0,1.0,0.0
2000-03-20,107.65,109.5,106.3,106.75,1,0.05,0.05,44985,25317,1450,2423874.0,105.75,-1,0.56,1.0,2000,3,20,0,105.99000000000001,106.47857142857143,106.47857142857143,106.47857142857143,106.47857142857143,106.47857142857143,106.47857142857143,106.47857142857143,106.47857142857143,106.47857142857143,106.47857142857143,106.47857142857143,106.47857142857143,111.43836213076077,101.51878072638209,3.200000000000003,13.685897435897441,13.588461538461548,13.685897435897441,16.516880341880345,2.450000000000003,2.0,1.0,1.0
2000-03-21,105.5,109.6,105.3,109.2,1,2.45,2.3,51925,27162,1845,2795781.0,107.92,1,2.17,1.28,2000,3,21,1,106.83000000000001,106.81875000000001,106.81875000000001,106.81875000000001,106.81875000000001,106.81875000000001,106.81875000000001,106.81875000000001,106.81875000000001,106.81875000000001,106.81875000000001,106.81875000000001,106.81875000000001,111.79754431761776,101.83995568238225,4.299999999999997,14.000000000000005,13.696153846153853,14.000000000000005,15.278418803418807,1.5999999999999943,1.0,1.0,1.0
2000-03-22,109.2,112.55,109.0,110.8,1,1.6,1.47,54973,27634,472,3059358.0,110.21,1,2.29,0.59,2000,3,22,2,107.79,107.26111111111112,107.26111111111112,107.26111111111112,107.26111111111112,107.26111111111112,107.26111111111112,107.26111111111112,107.26111111111112,107.26111111111112,107.26111111111112,107.26111111111112,107.26111111111112,112.62156299919336,101.90065922302888,3.549999999999997,14.20512820512821,13.819230769230776,14.20512820512821,14.495512820512824,-2.200000000000003,-2.0,0.0,-1.0
2000-03-23,111.3,112.3,108.45,108.6,-1,-2.2,-1.99,50439,25186,-2448,2783967.0,108.28,-1,1.93,0.32,2000,3,23,3,108.41000000000001,107.39500000000001,107.39500000000001,107.39500000000001,107.39500000000001,107.39500000000001,107.39500000000001,107.39500000000001,107.39500000000001,107.39500000000001,107.39500000000001,107.39500000000001,107.39500000000001,112.51933193477724,102.27066806522278,3.8499999999999943,13.923076923076927,13.898717948717954,13.923076923076927,13.898717948717954,3.950000000000003,2.0,1.0,1.0
