date,fa_num_rate,fa_Votes_rate,time_Allday,time_Event,time_month,time_Quarter,USD,EUR,GBP,JPY,AUD,CAD,NZD,CNY,CHF,All
2007-02-16,8.887639919748958,0.0,0.0,0.0,0.0,0.0,8.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
2007-02-17,-0.29844559585492253,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-02-19,14.000000000000004,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0
2007-02-20,6.023333333333333,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,4.0,0.0,1.0,2.0,0.0
2007-02-21,29.180271563174603,9.0,1.0,0.0,0.0,0.0,2.0,2.0,3.0,3.0,4.0,2.0,0.0,1.0,0.0,0.0
2007-02-22,58.97998251748251,0.0,1.0,0.0,0.0,0.0,4.0,4.0,2.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0
2007-02-23,7.2081395348837205,0.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0
2007-02-26,2.4346364704346692,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0
2007-02-27,140.737037037037,0.0,2.0,0.0,0.0,0.0,3.0,7.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2007-02-28,-7.430757847276392,0.0,0.0,0.0,0.0,0.0,8.0,6.0,2.0,4.0,2.0,0.0,1.0,0.0,1.0,0.0
2007-03-01,-2.0395537210805563,0.0,0.0,0.0,0.0,0.0,9.0,5.0,4.0,1.0,3.0,3.0,1.0,1.0,1.0,0.0
2007-03-02,8.718710235994422,0.0,1.0,0.0,0.0,0.0,5.0,3.0,1.0,6.0,2.0,1.0,0.0,1.0,0.0,0.0
